id	ER-NOD-ERR1084805	ER-NOD-ERR1084806	ER-ATH-ERR1084764	ER-ATH-ERR1084765	TN-NOD-ERR1084798	TN-NOD-ERR1084799	TN-ATH-ERR1084768	TN-ATH-ERR1084766
ENSG00000001630	0	0	0	0	0	0	0	0
ENSG00000001631	0	0	0	1.84195	0	0	0	0
ENSG00000002834	8.93916	9.99148	9.63534	9.62664	9.36042	9.00678	6.67937	8.47874
ENSG00000003402	0	0	0	1.05765	0.499162	0.0537453	0.288159	0
ENSG00000003436	0.507206	0	0	0	0.644542	0.0909436	0	0
ENSG00000003509	0	0	0	0	0	0	0	0
ENSG00000004961	6.97645	5.8873	7.11399	7.3161	5.6204	7.66572	6.19718	7.68596
ENSG00000005073	1.57266	0	0	0	1.59218	2.17808	7.21193	6.41045
ENSG00000005102	0.943726	0	0	0	2.38608	4.68023	0.826241	4.41298
ENSG00000005339	0	0	0	0	0	0	0	0
ENSG00000005421	2.01011	4.98634	0	0	2.04004	0	2.98178	3.77911
ENSG00000005801	0	0	0	0	0	0	0	0
ENSG00000005884	0	0	0	0	0	0	0	0
ENSG00000006015	0	0	0	0	0	0	0	0
ENSG00000006016	0	0	0	0	0	0	2.35162	0
ENSG00000006468	3.02026	3.39051	3.79464	4.25873	2.10746	0.31852	4.3627	4.56537
ENSG00000006555	0	0	0	0	0	0.334298	0	0
ENSG00000006607	0	0	0	1.62211	0	0	0	0.554976
ENSG00000006634	7.09209	7.113	6.55162	6.84143	6.99626	7.23326	7.12486	8.38115
ENSG00000006638	1.12676	1.2006	0	0	0	0	0	0
ENSG00000006756	1.60947	0	2.96566	1.97112	0	0	0	0
ENSG00000007392	0	0	0	0	0	0	0	0.786254
ENSG00000007908	0	0	0	2.63474	2.00015	2.14381	2.28117	3.57972
ENSG00000008056	0	0.731744	0	0	0	0	0	0
ENSG00000008283	0	0	1.92763	0	0	0	0	0
ENSG00000008838	0	0	0	0	0	0	0	0
ENSG00000008988	0	1.17985	0	0	0	0	0	2.08298
ENSG00000009335	0	0	0	0	0	0	0	0
ENSG00000009413	2.04004	1.60572	0	0	2.45995	0.54739	1.92344	2.03318
ENSG00000009765	1.56132	0	0	0	0	0	0	0
ENSG00000009950	0.994546	0	0	0	0	0.710736	0	0
ENSG00000010404	0.661171	0	1.41821	0	0.49151	0	0	0.177949
ENSG00000010610	4.45131	1.29126	4.16158	4.63498	4.17767	4.64505	4.87108	8.12899
ENSG00000011132	0	0	0	0	0	0	0	0
ENSG00000011243	0	0	0	0	0	0	0	1.78839
ENSG00000011275	0	0	2.76031	0	0	0	0	0
ENSG00000011295	0	0	0	0	0	0	0	0
ENSG00000011454	0	0	0	0	0	0	0	0
ENSG00000011478	0	1.19633	0	0	0	0	0.921757	0
ENSG00000011638	1.2648	0	0	0	0	0	0	0
ENSG00000012232	0	0	0	0	0	0	0	0
ENSG00000012779	6.26302	0	0	1.92344	3.75543	4.75665	3.77194	5.10376
ENSG00000013306	0	0	0	0	0	0	0	0
ENSG00000013364	0	0	0	0	0	0	1.44027	0
ENSG00000014138	0	0.664915	1.79665	2.00015	0.293254	0	0	0
ENSG00000015479	0	0	0	0	0	0	0	0
ENSG00000016082	0	0	0	0	0	0	3.26018	4.97114
ENSG00000018610	0	0	0	0	0	0	0	0
ENSG00000019144	0	0	0	0	0	0	1.22602	0
ENSG00000021355	0	0	0	0	0	0	0.618234	0
ENSG00000022267	0	0	0	0	3.49991	3.80779	0	6.02354
ENSG00000022840	0	1.93532	0	0	0	0	0	0
ENSG00000022976	0	0.976743	0	0	0	0	0	0
ENSG00000026751	0	0	0	0	0	0	0	0.711732
ENSG00000028203	0.842667	0	0	0	0	0	0	0
ENSG00000033170	0	0	0	3.54011	0	0	0	0
ENSG00000035664	0	2.43654	0	0	0	0	0	0
ENSG00000037757	7.17262	6.88995	8.05623	7.92904	7.74535	7.38582	8.00937	6.6516
ENSG00000038210	2.66748	0	0	0	1.05765	0	0.915297	0.406484
ENSG00000039068	0	0	0	0	0	0	0	0
ENSG00000039319	0	0	0	0	0.187515	0.772884	0.353889	0
ENSG00000044115	0	0	2.86286	0	0	0	0	0
ENSG00000047410	0	0	0	0	0	0	0.668889	0
ENSG00000047621	0	0	0	0	0	0	0	0
ENSG00000047648	3.81995	0	0	1.53259	0.68707	3.23099	0.531265	4.02205
ENSG00000048544	0	1.13824	0	0	0	0	0	0
